name,ra,dec,redshift,mag_r,flag,N_g,N_r,N_i,N_z
J021929.59-040448.91,34.8733,-4.08025,1.7,21.2915,q,110,114,118,223
J021930.62-045252.28,34.8776,-4.88119,2.7,22.359,q,85,108,107,157
J021931.12-053614.06,34.8797,-5.60391,1.5636,21.2701,qQ,105,115,118,220
J021931.78-041322.36,34.8824,-4.22288,1.38,19.9112,Q,112,121,116,228
J021931.90-045159.84,34.8829,-4.86662,-1.0,22.2248,q,81,111,108,206
J021933.09-042917.09,34.8879,-4.48808,0.9812,19.6462,qQ,114,121,121,233
J021933.59-060010.57,34.8899,-6.00294,2.1,21.2795,q,108,119,120,235
J021933.75-054919.90,34.8906,-5.82219,0.69,21.5835,Q,109,115,129,257
J021933.83-040522.32,34.8909,-4.08953,0.5808,20.9421,qQ,106,115,118,225
J021934.21-050859.37,34.8925,-5.14982,1.3868,20.316,qQ,106,115,113,221
J021934.48-045925.00,34.8937,-4.99028,1.651,22.8765,Q,28,76,101,95
J021934.49-044111.43,34.8937,-4.68651,3.0,22.0176,q,102,110,113,197
J021934.71-044141.12,34.8946,-4.69476,2.1,20.8937,Q,108,116,115,225
J021934.73-050627.84,34.8947,-5.10773,0.3572,21.3552,qQ,95,107,111,205
J021934.89-050849.42,34.8954,-5.14706,2.2604,20.5812,qQ,106,114,116,224
J021935.78-064227.20,34.8991,-6.70756,2.049,21.338,QQ,108,116,121,232
J021935.94-042546.10,34.8997,-4.42947,2.49,99.0,QQ,16,12,15,31
J021936.65-040023.20,34.9027,-4.00644,1.245,21.0381,Q,100,114,115,221
J021937.68-040249.84,34.907,-4.04718,4.2312,20.607,qQ,104,114,117,226
J021938.07-040049.67,34.9086,-4.0138,1.6572,20.1825,qQ,106,111,110,223
J021938.21-055650.73,34.9092,-5.94742,2.0316,22.7324,qQ,3,97,114,219
J021938.77-051103.47,34.9116,-5.1843,1.752,22.2053,Q,95,101,93,171
J021938.86-040917.86,34.9119,-4.15496,0.3,21.4477,q,105,110,117,216
J021938.88-051805.40,34.912,-5.3015,2.207,20.293,QQ,109,120,116,233
J021939.50-052838.70,34.9146,-5.47742,1.45,20.7541,Q,107,117,117,223
J021939.92-061407.00,34.9163,-6.23528,1.446,20.299,QQ,106,106,105,212
J021940.11-051051.04,34.9171,-5.18084,4.8,22.3282,q,37,102,110,212
J021940.27-054855.79,34.9178,-5.8155,2.5,22.1884,q,181,210,216,437
J021940.60-045100.58,34.9192,-4.85016,2.146,21.2643,Q,93,101,101,203
J021941.16-044100.40,34.9215,-4.68344,2.096,20.583,QQ,110,114,115,227
J021941.34-055546.16,34.9222,-5.92949,3.0,21.3837,q,97,104,99,151
J021941.50-040304.19,34.9229,-4.05116,2.718,20.8797,qQ,105,114,120,226
J021941.91-041333.19,34.9246,-4.22588,1.9952,20.5181,qQ,107,117,117,226
J021942.34-064740.01,34.9264,-6.79445,1.4284,22.1138,qQ,54,58,64,150
J021942.61-063825.41,34.9276,-6.64039,0.4,21.5893,q,110,115,121,228
J021943.04-064113.40,34.9293,-6.68706,1.249,20.598,QQ,110,118,120,233
J021943.46-041733.24,34.9311,-4.29257,3.5,21.1341,q,17,32,29,98
J021943.78-051232.32,34.9324,-5.20898,2.027,22.3766,Q,92,105,55,125
J021943.86-061101.13,34.9328,-6.18365,1.522,21.9321,qQ,103,111,114,227
J021944.56-045904.53,34.9357,-4.98459,2.378,21.1204,Q,69,66,66,111
J021945.24-062442.10,34.9385,-6.4117,2.172,19.893,QQ,9,10,8,7
J021945.44-062120.57,34.9393,-6.35571,1.7976,21.4504,qQ,108,111,119,223
J021947.13-043754.70,34.9464,-4.63186,1.626,20.358,QQ,108,113,120,227
J021947.52-051008.36,34.948,-5.16899,1.204,21.4639,Q,105,111,116,228
J021948.41-041802.73,34.9517,-4.30076,1.3192,21.4134,qQ,55,65,67,133
J021948.86-041829.66,34.9536,-4.30824,2.4,22.5446,q,86,97,93,176
J021949.14-062619.36,34.9548,-6.43871,1.5168,22.9834,qQ,5,95,111,223
J021949.16-052925.77,34.9548,-5.49049,2.031,21.0805,Q,109,117,118,226
J021949.22-064049.77,34.9551,-6.68049,-1.0,21.0169,q,108,114,120,226
J021949.52-064335.30,34.9563,-6.72647,1.265,20.398,QQ,107,106,72,104
J021949.86-063525.70,34.9577,-6.59047,1.222,20.716,QQ,107,113,114,202
J021949.99-064208.10,34.9583,-6.70225,1.978,19.546,QQ,107,115,122,234
J021950.03-060618.35,34.9584,-6.1051,1.7456,22.1455,qQ,112,114,122,222
J021951.10-044059.90,34.9629,-4.68331,1.1112,21.7134,qQ,110,115,118,218
J021951.24-043416.28,34.9635,-4.57119,1.912,21.269,Q,113,115,118,224
J021951.89-060053.60,34.9662,-6.01489,2.1,22.0758,q,100,108,114,217
J021952.04-042030.34,34.9668,-4.34176,1.86,21.4813,qQ,76,99,103,192
J021952.13-064913.32,34.9672,-6.82037,1.1,21.8012,q,100,111,118,225
J021952.14-040919.90,34.9673,-4.15553,0.692,19.837,QQ,102,116,119,229
J021952.21-042130.18,34.9675,-4.35838,4.0284,19.1222,qQ,100,120,116,225
J021952.51-045250.21,34.9688,-4.88062,1.925,20.9697,Q,105,114,113,224
J021952.54-041449.65,34.9689,-4.24712,0.3364,21.1145,qQ,107,118,116,221
J021952.67-055957.21,34.9695,-5.99922,3.863,19.1626,Q,111,117,122,239
J021953.31-043348.28,34.9721,-4.56341,1.0,21.804,q,100,116,115,220
J021953.45-061123.40,34.9727,-6.18983,1.91,19.667,QQ,112,120,120,235
J021953.57-050725.04,34.9732,-5.12362,1.576,22.3177,Q,84,97,107,171
J021953.60-043416.64,34.9733,-4.57129,1.4752,20.97,qQ,108,118,117,224
J021954.16-065831.20,34.9757,-6.97533,1.148,20.886,QQ,108,114,117,237
J021954.62-054922.12,34.9776,-5.82281,0.322,19.6,Q,108,118,121,240
J021955.13-052344.42,34.9797,-5.39567,2.983,22.9363,Q,89,96,80,87
J021956.91-060403.59,34.9871,-6.06766,1.5,21.6661,q,111,118,120,230
J021957.25-043952.50,34.9885,-4.66458,2.072,18.366,QQ,108,117,117,224
J021957.37-051451.72,34.989,-5.2477,2.8,20.3812,q,106,107,107,206
J021957.57-045846.25,34.9899,-4.97951,1.545,21.6636,Q,99,109,115,227
J021957.86-060534.70,34.9911,-6.09297,1.296,20.276,QQ,84,91,95,133
J021957.91-042851.37,34.9913,-4.48094,3.64,20.3777,Q,110,115,121,230
J021958.13-041707.70,34.9922,-4.28547,1.833,20.62,QQ,107,111,112,190
J021958.44-051015.88,34.9935,-5.17108,2.1,22.6519,q,91,101,104,189
J021958.59-045151.42,34.9941,-4.86428,1.7768,20.6637,qQ,106,109,117,226
J021958.76-045219.95,34.9948,-4.87221,0.9916,20.3132,qQ,105,111,116,226
J021958.85-041941.89,34.9952,-4.3283,3.6,22.1098,q,65,88,78,127
J022000.16-041745.37,35.0007,-4.29594,0.92,21.4832,Q,95,97,103,187
J022000.88-044047.05,35.0036,-4.67974,2.08,21.7852,Q,106,111,115,225
J022000.90-055555.59,35.0038,-5.93211,1.6,22.1593,q,96,109,114,214
J022001.24-063238.20,35.0052,-6.54394,2.725,21.757,QQ,99,113,123,236
J022001.63-052216.90,35.0068,-5.37136,2.219,20.222,QQ,105,115,115,228
J022002.08-050101.90,35.0087,-5.01719,1.791,19.479,QQ,100,104,97,197
J022002.57-044758.76,35.0107,-4.79966,1.96,20.2571,Q,107,112,119,222
J022002.98-041159.47,35.0124,-4.19985,4.6,22.8486,q,9,101,119,224
J022003.03-052759.20,35.0126,-5.46644,3.187,22.5715,Q,101,110,109,153
J022003.60-045145.38,35.015,-4.86261,1.33,23.3139,Q,0,80,114,216
J022003.99-061606.90,35.0166,-6.26858,2.391,20.188,QQ,112,120,97,193
J022004.40-052812.66,35.0183,-5.47018,1.158,20.4129,qQ,106,119,116,231
J022005.32-054152.87,35.0222,-5.69802,4.1,19.4368,q,109,118,121,231
J022005.33-051915.06,35.0222,-5.32085,1.7976,21.5295,qQ,109,113,119,228
J022005.47-051036.70,35.0228,-5.17686,3.0,21.9159,q,92,111,119,210
J022005.57-050928.60,35.0232,-5.15795,0.968,19.772,QQ,108,117,119,231
J022005.57-042438.30,35.0232,-4.41064,0.739,20.55,QQ,92,53,64,180
J022005.93-045819.64,35.0247,-4.97212,2.483,22.1123,Q,102,106,113,208
J022006.53-064148.61,35.0272,-6.69684,1.7768,21.6171,qQ,106,110,114,207
J022006.60-061936.40,35.0275,-6.32678,1.465,19.296,QQ,112,116,119,232
J022007.10-055305.03,35.0296,-5.88473,2.4424,21.6107,qQ,111,121,122,236
J022007.24-042043.27,35.0302,-4.34535,0.8,20.3934,q,75,69,76,157
J022008.06-042801.42,35.0336,-4.46706,3.8,22.6686,q,62,83,86,165
J022008.40-041146.81,35.035,-4.19634,2.062,22.337,Q,97,105,106,193
J022008.73-045905.30,35.0364,-4.98481,1.647,20.062,QQ,103,113,116,229
J022009.14-051656.94,35.0381,-5.28248,0.3,21.2575,q,106,113,115,225
J022009.88-054723.92,35.0412,-5.78998,1.3972,21.0109,qQ,113,121,122,236
J022010.09-042800.36,35.042,-4.46677,3.2,22.3314,q,60,87,91,92
J022010.38-052022.71,35.0432,-5.33964,3.4,22.6394,q,56,93,105,173
J022011.29-042512.10,35.047,-4.42003,1.312,20.553,QQ,111,116,121,225
J022011.61-044020.19,35.0484,-4.67227,0.769,21.0526,Q,100,108,114,219
J022012.02-044057.36,35.0501,-4.6826,2.028,21.3102,Q,109,113,117,221
J022012.19-053041.39,35.0508,-5.5115,-1.0,21.8972,q,96,110,115,214
J022012.83-052005.57,35.0535,-5.33488,1.7196,21.3717,qQ,108,115,118,226
J022013.09-045114.00,35.0545,-4.85389,0.928,20.7191,Q,109,112,118,222
J022013.20-042357.89,35.055,-4.39941,1.825,22.3379,Q,67,81,97,182
J022013.52-041444.90,35.0563,-4.24581,4.9,22.9129,q,5,97,116,225
J022014.33-042917.10,35.0597,-4.48808,2.458,18.915,QQ,109,115,95,206
J022014.62-052239.67,35.0609,-5.37769,2.5,21.9817,q,92,109,108,195
J022014.98-062253.10,35.0624,-6.38142,1.708,19.507,QQ,104,112,117,235
J022015.60-044830.27,35.065,-4.80841,2.8,21.7414,Q,106,110,118,219
J022015.84-051938.56,35.066,-5.32738,0.6,22.1946,q,101,113,112,217
J022016.33-042422.19,35.0681,-4.40617,1.491,22.6617,Q,78,102,101,157
J022016.53-043209.10,35.0689,-4.53586,1.624,20.793,QQ,108,114,117,223
J022017.37-050447.25,35.0724,-5.07979,2.7,22.4885,q,98,102,103,137
J022018.09-051820.26,35.0754,-5.30563,2.2,22.1111,q,101,112,116,223
J022019.61-060729.80,35.0817,-6.12494,0.541,19.727,QQ,114,121,119,239
J022021.41-053118.41,35.0892,-5.52178,2.1,21.072,q,103,115,113,225
J022021.49-050303.05,35.0896,-5.05085,1.16,21.5306,Q,95,101,112,214
J022021.94-064324.10,35.0914,-6.72336,1.426,20.326,QQ,110,118,121,237
J022022.02-050429.21,35.0918,-5.07478,4.16,21.2014,Q,98,109,111,223
J022022.06-045704.87,35.0919,-4.95135,1.65,20.5367,Q,94,103,111,212
J022023.48-064959.20,35.0978,-6.83311,1.234,20.094,QQ,107,116,121,235
J022024.08-045709.50,35.1003,-4.95264,1.777,19.456,QQ,104,99,96,184
J022024.12-060856.54,35.1005,-6.14904,1.3,20.9298,q,110,117,121,233
J022024.34-061401.90,35.1014,-6.23386,1.294,20.493,QQ,110,119,119,233
J022024.93-053744.40,35.1039,-5.629,1.323,20.382,QQ,113,121,125,235
J022025.14-044453.80,35.1048,-4.74828,0.76,19.963,QQ,19,17,19,40
J022025.96-043414.00,35.1082,-4.57056,1.302,21.8927,Q,62,73,68,130
J022026.33-050251.53,35.1097,-5.04765,0.885,21.7787,Q,99,110,114,214
J022026.86-045012.89,35.1119,-4.83691,2.4,22.3939,q,99,102,109,178
J022026.94-051346.58,35.1123,-5.22961,0.3,22.6867,q,85,99,101,147
J022027.01-052417.55,35.1125,-5.40487,1.658,21.5886,Q,47,64,65,138
J022027.04-042240.30,35.1127,-4.37786,1.581,21.304,QQ,110,118,121,229
J022027.11-045933.32,35.113,-4.99259,1.912,21.0796,qQ,104,113,114,230
J022027.32-045115.50,35.1138,-4.85431,1.785,20.811,QQ,61,28,38,128
J022027.66-044933.33,35.1153,-4.82592,1.54,21.1404,Q,89,83,96,196
J022027.72-065113.70,35.1155,-6.85381,2.1668,21.1264,qQ,108,114,114,210
J022027.98-062627.60,35.1166,-6.441,1.564,20.833,QQ,111,120,119,242
J022028.33-045708.81,35.118,-4.95245,2.5,22.5669,q,93,98,94,142
J022028.95-045802.60,35.1206,-4.96739,2.151,20.377,QQ,109,117,116,228
J022029.41-061632.50,35.1225,-6.27569,1.893,21.422,QQ,111,108,109,222
J022029.60-051022.60,35.1233,-5.17295,1.652,20.105,QQ,107,116,116,230
J022030.05-044942.20,35.1252,-4.82839,3.4,22.4049,q,58,94,101,189
J022031.10-062519.50,35.1296,-6.42208,1.228,20.742,QQ,83,80,85,127
J022031.37-055234.01,35.1307,-5.87611,0.4508,20.2979,qQ,114,121,123,237
J022032.25-044217.60,35.1344,-4.70489,1.398,19.866,QQ,107,116,118,232
J022032.49-055726.56,35.1354,-5.95738,2.484,22.1244,Q,112,119,119,223
J022033.25-053040.29,35.1385,-5.51119,1.9692,19.4855,qQ,107,115,119,236
J022033.47-060022.03,35.1395,-6.00612,1.73,19.1626,qQ,116,120,121,240
J022033.68-062900.46,35.1403,-6.48346,2.1824,21.7352,qQ,108,113,112,217
J022033.72-055033.11,35.1405,-5.84253,1.279,22.1951,Q,79,103,114,172
J022034.52-045132.50,35.1438,-4.85903,2.73,20.276,QQ,109,112,119,225
J022034.62-044929.92,35.1443,-4.82498,3.0,22.1579,q,72,87,92,163
J022034.90-055901.60,35.1454,-5.98378,2.103,20.569,QQ,114,121,123,235
J022034.93-052956.00,35.1455,-5.49889,2.036,17.785,QQ,60,15,2,7
J022035.20-052412.05,35.1467,-5.40335,1.99,21.7585,Q,100,112,117,216
J022036.34-042652.36,35.1514,-4.44788,3.2,21.9931,q,67,78,87,120
J022036.72-062357.27,35.153,-6.39924,1.0,21.3321,q,110,118,119,225
J022036.74-045128.13,35.1531,-4.85781,1.0488,20.5246,qQ,107,115,119,226
J022037.25-054214.10,35.1552,-5.70392,1.128,19.843,QQ,115,122,125,239
J022037.46-061036.53,35.1561,-6.17682,2.8,19.3449,q,117,120,122,243
J022038.19-051807.35,35.1591,-5.30204,3.1,22.1692,q,95,112,114,196
J022038.21-052444.66,35.1592,-5.41241,1.807,20.5718,Q,83,93,98,185
J022039.49-044058.64,35.1645,-4.68295,2.0,22.9693,q,87,82,76,76
J022039.51-060518.70,35.1646,-6.08853,1.729,18.808,QQ,13,14,13,19
J022040.09-051235.99,35.167,-5.21,2.4,22.6281,q,92,97,104,181
J022040.33-063458.80,35.168,-6.583,1.906,20.033,QQ,10,13,13,20
J022040.87-053557.65,35.1703,-5.59935,0.1,21.674,q,27,50,53,83
J022041.19-055039.80,35.1716,-5.84439,1.451,19.958,QQ,116,121,123,240
J022041.28-063319.70,35.172,-6.55547,0.6,20.1402,q,81,110,62,146
J022041.91-060640.20,35.1746,-6.11117,2.137,20.105,QQ,115,113,73,181
J022042.53-064826.06,35.1772,-6.80724,1.834,20.9786,qQ,110,102,97,223
J022043.79-063918.51,35.1825,-6.65514,2.327,21.9924,Q,100,112,116,217
J022044.08-064819.21,35.1837,-6.80534,1.5,19.1543,q,113,120,119,239
J022044.45-050905.90,35.1852,-5.15164,2.101,20.727,QQ,107,115,117,225
J022044.72-052325.31,35.1863,-5.39036,4.2,21.2632,q,81,102,93,209
J022045.42-054659.70,35.1893,-5.78325,2.311,19.834,QQ,34,34,39,63
J022045.50-045121.90,35.1896,-4.85608,2.037,19.605,QQ,109,114,118,230
J022046.21-042038.40,35.1925,-4.344,2.129,21.202,QQ,106,117,118,227
J022046.23-042115.14,35.1926,-4.35421,1.52,21.7314,Q,111,119,120,224
J022046.29-050614.21,35.1929,-5.10395,3.1,21.015,q,53,46,52,74
J022046.56-054334.08,35.194,-5.72613,0.9,22.9435,q,104,109,110,208
J022047.60-061205.50,35.1983,-6.20153,0.886,20.203,QQ,113,114,118,242
J022047.63-051835.80,35.1985,-5.30995,1.873,19.117,QQ,57,77,83,180
J022048.69-043444.80,35.2029,-4.57911,3.8,22.5396,q,40,97,107,179
J022049.05-061916.30,35.2044,-6.3212,1.9,21.856,QQ,81,99,101,197
J022049.53-053731.10,35.2064,-5.62531,0.973,19.663,QQ,115,120,126,241
J022050.39-061748.80,35.21,-6.29689,1.908,21.672,QQ,112,115,121,229
J022050.74-054810.28,35.2114,-5.80286,4.1688,22.8228,qQ,15,103,116,221
J022051.27-055715.37,35.2136,-5.95427,3.0872,21.5819,qQ,114,121,122,224
J022051.42-062852.10,35.2142,-6.48114,1.344,21.284,QQ,101,115,120,236
J022051.43-054116.90,35.2143,-5.68803,2.095,21.1906,Q,111,121,126,243
J022053.78-065110.90,35.2241,-6.85303,1.7,18.7394,q,77,77,87,175
J022054.40-053008.59,35.2266,-5.50239,-1.0,21.9226,q,193,213,222,412
J022055.06-061837.91,35.2294,-6.31053,0.8,22.6766,q,59,74,100,173
J022055.10-061842.20,35.2296,-6.31172,2.34,20.868,QQ,110,115,117,222
J022055.16-060136.40,35.2298,-6.02678,1.231,20.074,QQ,118,122,124,236
J022055.38-045155.09,35.2308,-4.8653,3.4,22.0745,q,72,98,109,182
J022055.43-044456.16,35.231,-4.74893,1.1424,21.0507,qQ,108,112,119,224
J022055.51-051221.47,35.2313,-5.20596,2.7,20.0166,q,108,116,117,230
J022055.79-042405.26,35.2324,-4.40146,2.7,22.8429,q,37,61,70,52
J022057.74-062750.71,35.2406,-6.46409,1.7,21.278,q,112,121,125,237
J022057.76-055208.47,35.2407,-5.86902,4.0,21.0904,q,108,119,121,238
J022057.94-044913.93,35.2414,-4.82054,2.5,21.515,q,100,112,116,208
J022057.94-050019.26,35.2414,-5.00535,3.5,21.9414,q,89,110,109,206
J022058.03-051936.80,35.2418,-5.32689,1.03,20.175,QQ,105,115,118,228
J022058.79-071134.90,35.245,-7.19303,4.1792,20.8596,qQ,90,112,121,233
J022059.27-043919.90,35.247,-4.65553,1.231,20.787,QQ,104,113,114,223
J022059.48-044917.00,35.2478,-4.82139,1.543,18.088,QQ,56,59,56,94
J022059.89-060540.00,35.2496,-6.09444,2.8688,20.1033,qQ,107,119,113,199
J022100.43-043124.63,35.2518,-4.52351,1.9,22.3018,q,72,112,113,206
J022100.63-053616.61,35.2526,-5.60462,1.229,21.2685,Q,107,120,118,221
J022102.68-065641.64,35.2612,-6.9449,1.9744,22.0873,qQ,108,116,119,231
J022103.06-054519.00,35.2627,-5.75528,0.806,19.755,QQ,13,14,13,15
J022103.86-062856.00,35.2661,-6.48222,1.527,20.869,QQ,96,113,113,232
J022103.87-060250.11,35.2661,-6.04725,2.06,18.9678,Q,115,122,126,241
J022104.17-071022.98,35.2674,-7.17305,1.184,21.2112,qQ,104,119,122,222
J022104.63-044239.90,35.2693,-4.71108,1.047,19.817,QQ,109,120,119,232
J022104.88-060728.50,35.2703,-6.12458,2.648,19.829,QQ,114,125,128,246
J022106.22-054950.27,35.2759,-5.83063,1.7,22.0743,q,111,120,122,229
J022108.34-043949.67,35.2847,-4.6638,0.8,23.3034,q,0,54,101,187
J022108.60-061753.20,35.2858,-6.29811,1.221,19.788,QQ,113,122,125,243
J022110.01-055041.94,35.2917,-5.84498,2.309,21.8738,Q,113,116,125,234
J022110.73-043915.17,35.2947,-4.65421,4.2,21.2188,q,95,111,112,223
J022110.98-071219.75,35.2957,-7.20549,1.3,20.8251,q,106,116,118,232
J022111.44-043719.83,35.2977,-4.62218,3.2,21.7805,q,97,103,110,194
J022112.05-055427.72,35.3002,-5.9077,1.502,21.1403,Q,83,86,71,178
J022112.40-071221.60,35.3017,-7.206,3.093,20.801,QQ,105,117,120,228
J022113.72-065716.50,35.3072,-6.95458,1.206,20.965,QQ,112,117,122,233
J022114.40-053225.16,35.31,-5.54032,0.4716,21.2463,qQ,108,113,122,221
J022114.67-050934.02,35.3111,-5.15945,2.9,21.6466,q,104,115,119,215
J022114.67-054017.62,35.3111,-5.67156,3.9,21.7358,q,81,113,125,231
J022114.78-050832.90,35.3116,-5.14247,0.996,20.358,QQ,112,116,121,223
J022115.04-043155.50,35.3127,-4.53208,1.757,20.702,QQ,112,119,122,232
J022115.87-062217.50,35.3161,-6.37153,1.271,18.53,QQ,111,117,122,243
J022116.77-044326.12,35.3199,-4.72392,-1.0,22.5916,q,91,104,104,193
J022116.78-043247.16,35.3199,-4.54643,1.7,21.609,q,106,114,119,230
J022116.94-062009.09,35.3206,-6.33586,0.9,20.9474,q,111,115,123,226
J022117.44-063856.50,35.3227,-6.64903,1.759,19.332,QQ,110,118,123,237
J022117.67-052420.25,35.3236,-5.40562,0.7,22.2587,q,97,107,112,210
J022117.98-043101.61,35.3249,-4.51711,0.761,20.9082,Q,112,116,115,231
J022117.98-044743.43,35.3249,-4.7954,3.5,22.0355,q,74,106,111,201
J022118.75-063328.10,35.3281,-6.55781,2.4424,19.096,qQ,112,118,124,242
J022119.40-062530.20,35.3308,-6.42506,1.773,19.736,QQ,113,117,122,224
J022119.91-045948.60,35.333,-4.99683,1.772,20.349,QQ,104,111,116,227
J022121.08-064245.83,35.3378,-6.71273,4.0856,22.5069,qQ,7,102,120,237
J022122.13-050115.36,35.3422,-5.02093,1.335,21.0006,Q,108,113,124,227
J022122.50-044658.60,35.3438,-4.78295,2.633,20.043,QQ,110,112,115,225
J022123.85-051813.77,35.3494,-5.30383,1.6728,22.3142,qQ,92,108,115,206
J022124.10-055203.56,35.3504,-5.86765,2.7,21.0286,q,114,118,123,237
J022124.53-050205.20,35.3522,-5.03478,1.415,18.669,QQ,111,121,122,232
J022124.71-053303.00,35.353,-5.55083,2.52,20.701,QQ,111,117,121,237
J022127.29-060049.60,35.3637,-6.01378,2.16,20.623,QQ,110,117,120,231
J022128.75-055857.90,35.3698,-5.98275,0.579,20.06,QQ,111,120,127,242
J022129.34-071839.54,35.3723,-7.31098,1.4,19.0856,q,109,115,116,236
J022129.77-053121.06,35.374,-5.52252,0.8,21.5174,q,109,99,119,238
J022129.78-071541.20,35.3741,-7.26144,1.3244,21.6084,qQ,103,112,117,229
J022130.66-053938.97,35.3778,-5.66082,2.7,21.7911,q,107,115,120,228
J022130.98-045852.13,35.3791,-4.98115,2.812,22.0291,Q,105,109,114,208
J022131.93-054146.28,35.3831,-5.69619,1.7612,20.8433,qQ,116,121,127,242
J022132.36-055937.31,35.3848,-5.9937,1.288,20.7008,Q,112,121,126,241
J022132.89-070238.58,35.387,-7.04405,2.25,19.5085,qQ,111,119,125,241
J022133.10-043748.87,35.3879,-4.63024,2.99,20.6829,Q,372,370,595,1312
J022133.35-065713.50,35.389,-6.95375,3.44,19.82,QQ,112,121,126,244
J022133.52-045954.42,35.3897,-4.99845,3.118,22.4634,Q,98,104,106,175
J022133.82-054842.70,35.3909,-5.81186,0.5,17.986,QQ,118,124,98,120
J022134.31-043025.39,35.393,-4.50705,0.909,20.445,Q,388,367,594,1308
J022134.34-044905.64,35.3931,-4.81823,1.5012,19.1491,qQ,81,92,99,207
J022134.35-062941.60,35.3931,-6.49489,1.225,20.391,QQ,111,118,125,243
J022134.38-064321.10,35.3932,-6.72253,0.84,21.089,QQ,108,118,124,236
J022134.50-054127.94,35.3937,-5.6911,1.474,21.0228,Q,114,118,125,239
J022134.64-043210.31,35.3943,-4.5362,0.3416,21.7648,qQ,345,238,506,1238
J022134.97-070831.80,35.3957,-7.14217,1.716,20.276,QQ,105,113,117,237
J022136.36-064946.42,35.4015,-6.82956,1.5,21.8529,q,103,114,120,225
J022137.58-072036.04,35.4066,-7.34335,1.0,21.2676,q,104,98,100,201
J022137.59-064011.01,35.4066,-6.66972,0.768,21.0614,qQ,110,119,120,233
J022137.73-043124.90,35.4072,-4.52358,1.714,21.9775,Q,281,277,496,1077
J022137.89-051336.60,35.4079,-5.22683,1.11,19.797,QQ,9,10,11,12
J022138.50-061545.90,35.4104,-6.26275,2.178,20.876,QQ,106,120,118,231
J022138.98-044645.53,35.4124,-4.77931,1.548,21.5273,Q,58,54,60,96
J022139.29-061858.60,35.4137,-6.31628,1.697,21.316,QQ,110,119,122,233
J022139.48-045004.16,35.4145,-4.83449,2.449,22.1697,Q,105,114,114,209
J022139.60-060248.43,35.415,-6.04679,0.1,21.4774,q,115,120,125,233
J022140.69-044027.09,35.4195,-4.67419,2.7,22.33,q,234,255,478,1009
J022141.23-045819.39,35.4218,-4.97205,0.8,22.2563,q,96,104,106,149
J022141.27-061542.74,35.422,-6.26187,0.4508,21.2961,qQ,109,118,118,211
J022141.65-054123.77,35.4236,-5.68994,0.988,20.1735,Q,115,122,121,246
J022142.03-042712.59,35.4251,-4.4535,2.841,20.8234,Q,289,263,493,1093
J022142.43-053604.37,35.4268,-5.60121,1.369,19.3671,Q,106,116,117,185
J022143.01-050155.26,35.4292,-5.03202,2.1,21.8541,q,106,112,110,202
J022143.03-064629.63,35.4293,-6.7749,1.9536,22.0025,qQ,103,115,113,214
J022143.39-043139.85,35.4308,-4.52774,2.5,20.9357,q,293,278,498,1088
J022143.89-044251.53,35.4329,-4.71431,2.7,21.625,q,250,231,442,920
J022144.21-062745.20,35.4342,-6.46255,3.849,19.536,QQ,111,121,116,235
J022144.49-055552.04,35.4354,-5.93112,1.599,21.6533,Q,76,96,98,159
J022145.92-050218.14,35.4413,-5.03837,0.961,20.7159,Q,107,117,119,230
J022146.64-065048.40,35.4443,-6.84678,2.142,20.615,QQ,111,122,123,243
J022147.25-062232.79,35.4469,-6.37577,2.6,21.4095,q,112,120,125,238
J022147.99-055253.60,35.45,-5.88156,1.093,21.4466,Q,113,123,121,234
J022148.62-044239.23,35.4526,-4.7109,1.772,22.5024,Q,267,264,486,1062
J022148.67-062253.10,35.4528,-6.38142,1.548,21.462,QQ,109,118,123,237
J022149.28-062133.51,35.4553,-6.35931,1.8,21.7571,q,104,110,118,213
J022150.99-044747.93,35.4624,-4.79665,3.4,21.4744,q,104,110,118,227
J022151.38-042852.72,35.4641,-4.48131,1.416,20.3186,Q,286,267,499,1098
J022151.92-044140.27,35.4663,-4.69452,2.777,21.741,Q,215,198,376,889
J022152.10-043741.30,35.4671,-4.62814,0.982,21.6738,Q,275,267,478,1085
J022152.62-062834.40,35.4692,-6.47622,1.601,20.387,QQ,109,117,119,240
J022153.94-060308.14,35.4747,-6.05226,1.7,21.5867,q,93,103,107,210
J022154.21-061941.60,35.4759,-6.32822,1.563,20.043,QQ,104,105,110,227
J022155.17-050303.84,35.4799,-5.05107,1.5844,19.739,qQ,83,101,100,204
J022155.17-054625.05,35.4799,-5.77363,4.0,21.6609,q,80,115,122,232
J022155.25-064916.60,35.4802,-6.82128,0.805,17.642,QQ,51,55,62,138
J022155.48-055427.76,35.4812,-5.90771,2.5,22.5793,q,77,81,80,157
J022156.13-044948.29,35.4839,-4.83008,3.4,22.3678,q,86,108,106,192
J022156.57-055148.74,35.4857,-5.86354,3.847,21.2203,Q,102,120,121,228
J022157.62-064558.28,35.4901,-6.76619,1.418,21.1694,Q,105,118,120,231
J022157.68-050333.22,35.4903,-5.05923,4.1,21.9539,q,39,109,119,222
J022157.73-065037.94,35.4905,-6.84387,0.5,21.5245,q,103,123,124,243
J022158.33-054123.14,35.493,-5.68976,4.3,23.1484,q,0,79,123,231
J022158.80-052932.23,35.495,-5.49228,1.353,19.5536,Q,107,118,126,241
J022159.27-043448.07,35.497,-4.58002,1.086,21.6967,Q,257,260,489,1083
