name,ra,dec,redshift,mag_r,flag,N_g,N_r,N_i,N_z
J003146.74-423601.01,7.94475,-42.6003,2.063,19.296,QQ,117,121,122,238
J003146.74-433625.48,7.94475,-43.6071,1.818,19.421,QQ,7,8,6,11
J003150.13-432726.89,7.95888,-43.4575,1.909,18.456,QQ,116,115,93,129
J003154.92-433117.22,7.97883,-43.5215,0.565,19.014,QQ,17,6,3,8
J003155.93-434225.31,7.98304,-43.707,0.766,19.094,QQ,102,108,107,213
J003206.41-430935.60,8.02671,-43.1599,1.216,20.716,QQ,115,122,120,228
J003206.50-425325.22,8.02708,-42.8903,1.746,19.556,QQ,118,124,123,238
J003207.44-433049.00,8.031,-43.5136,1.534,19.404,QQ,78,82,71,91
J003211.08-433321.30,8.04618,-43.5559,0.559,19.1263,Q,111,113,93,233
J003213.12-434553.39,8.05467,-43.7648,1.702,17.04,QQ,114,121,118,237
J003219.62-430523.60,8.08175,-43.0899,1.727,20.351,QQ,12,12,9,10
J003221.43-423908.38,8.08929,-42.6523,1.719,20.834,QQ,96,104,107,209
J003231.39-433511.68,8.13079,-43.5866,0.679,20.047,QQ,103,98,96,192
J003232.61-433302.99,8.13587,-43.5508,1.498,19.53,QQ,113,120,118,231
J003234.33-431937.82,8.14304,-43.3272,1.636,19.237,QQ,108,118,111,228
J003244.55-432446.63,8.18561,-43.413,1.949,20.7436,Q,112,122,121,234
J003245.16-440451.49,8.18817,-44.081,1.325,20.478,QQ,112,115,115,225
J003245.64-435308.70,8.19017,-43.8857,2.222,19.33,QQ,219,230,207,461
J003245.74-431453.20,8.19058,-43.2481,1.669,20.078,QQ,117,125,122,237
J003248.83-422458.29,8.20346,-42.4162,0.83,20.262,QQ,115,120,123,235
J003249.30-442150.39,8.20542,-44.364,1.837,18.295,QQ,14,21,28,72
J003249.92-435140.40,8.208,-43.8612,2.144,19.986,QQ,226,237,234,471
J003252.65-432344.13,8.21937,-43.3956,1.157,22.9802,Q,76,84,103,164
J003253.01-435626.30,8.22087,-43.9406,1.479,19.83,QQ,224,235,233,471
J003254.56-423444.79,8.22733,-42.5791,2.39,19.938,QQ,118,123,122,237
J003254.79-423926.72,8.22829,-42.6574,1.594,18.854,QQ,116,123,122,216
J003254.85-420236.99,8.22854,-42.0436,1.538,20.112,QQ,113,119,111,204
J003255.12-435757.60,8.22967,-43.966,1.782,19.638,QQ,225,236,235,465
J003255.24-430948.39,8.23017,-43.1634,3.014,19.291,QQ,93,102,103,200
J003255.40-425222.30,8.23083,-42.8729,0.574,20.279,QQ,111,58,51,207
J003255.59-432804.36,8.23164,-43.4679,2.295,22.0761,Q,103,113,111,223
J003256.53-441451.18,8.23554,-44.2476,1.703,19.599,QQ,115,121,115,239
J003258.78-433038.69,8.24491,-43.5107,2.603,21.776,Q,83,87,96,189
J003301.52-441305.88,8.25631,-44.2183,1.3,19.7685,q,115,118,117,236
J003301.72-440750.92,8.25717,-44.1308,0.884,19.371,QQ,115,121,118,236
J003302.56-432653.91,8.26067,-43.4483,2.53,20.967,Q,114,123,119,237
